web-scraper-order,web-scraper-start-url,name,address,description,review_cat,price,no_reviews,Latitude,Longitude
1732027449-1,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=11,Zurich Youth Hostel,"Mutschellenstrasse 114A, Zurich, Switzerland","Offering 421 rooms, the 2-star Zurich Youth Hostel boasts a location within 5 minutes' walk of Lake promenade. Located within 25 minutes' walk of Sechselautenplatz, this hostel offers guests…",Excellent,61 CHF,(4093 reviews),47.35028791,8.527832697
1732027449-2,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=11,Saint Georges Hotel,"Weberstrasse 11, Zurich, Switzerland","Located 15 km from Kloten airport, the 2-star Saint Georges Hotel Zurich features airport transfer service and car rentals for guests to take advantage of. The smoke-free hotel…",Excellent,114 CHF,(1894 reviews),47.37072945,8.528125829
1732027449-3,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=11,Ibis Zuerich City West,"Schiffbaustrasse 11, Zurich, Switzerland","A 10-minute drive from Old Town, the 3-star Ibis Zurich City West hotel offers a lift, a snack and drink vending machine. This Zurich hotel also includes a…",Good,143 CHF,(2135 reviews),47.3890558,8.5171575
1732027449-4,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=11,Hotel Seehof,"Seehofstrasse 11, Zurich, Switzerland","Featuring a currency exchange and a lift, the 3-star Hotel Seehof Zurich is located about 5 minutes' walk from Sechselautenplatz. This Zurich hotel is in Seefeld with a terrace…",Good,213 CHF,(949 reviews),47.36435985,8.547783378
1732027449-5,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=11,Inside Five,"Motorenstrasse 11, Zurich, Switzerland","Located about a 5-minute walk from Markthalle, the comfortable 3-star Inside Five Aparthotel Zurich features a picnic area, barbecue grills, and a satellite flat-screen. Featuring a mini…",Good,112 CHF,(1977 reviews),47.3849765,8.529051288
1732027449-6,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=11,Swiss Star District 11 - Self Check-In,"Friesstrasse 33, Zurich, Switzerland","Situated just 13 minutes' walk from Messe Zurich, Swiss Star District 11 - Self Check-In Apartment provides guests with Wi-Fi for either business or leisure. There is Ottikerstrasse at…",Average,132 CHF,(296 reviews),47.4156855,8.54611803
1732027449-7,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=11,Cozy Urban Studio In The City Be-11,"Bertastrasse 15, Zurich, Switzerland","12 m² Cozy Urban Studio In The City Be-11 is situated in the Wiedikon district, about a 25-minute walk from Circus Conelli, which is higly recommended for a…",Good,150 CHF,(5 reviews),47.37500035,8.515815823
1732027452-8,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=10,Hotel Adler Zuerich,"Rosengasse 10, Zurich, Switzerland","Offering a restaurant and a storage room, the charming Hotel Adler Zurich lies in the Old Town district, just 600 metres from the compact Zurich Toy Museum and at a…",Excellent,207 CHF,(2166 reviews),47.37310225,8.543490983
1732027452-9,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=10,Sheraton Zuerich Hotel,"Pfingstweidstrasse 100, Zurich, Switzerland","The 4-star Sheraton Zurich Hotel is located in the heart of Zurich and features Wi-Fi in public areas, along with public parking on site. There is a train…",Good,283 CHF,(1013 reviews),47.3907286,8.5101238
1732027452-10,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=10,Boutique Hotel Wellenberg,"Niederdorfstrasse 10, Zurich, Switzerland","Boutique Hotel Wellenberg Zurich is located in the Old Town district, approximately a 5-minute walk from Limmat. The hotel features a safe deposit box and 24-hour security service…",Excellent,263 CHF,(3228 reviews),47.3729812,8.543859
